Tenure_Months,Monthly_Charges,Contract_Type,Internet_Service,Tech_Support,Payment_Method,Support_Calls,Churn
9.0,20.73,One Year,DSL,No,Electronic Check,0,No
34.0,54.45,Two Year,Fiber Optic,No,Bank Transfer,1,Yes
43.0,123.42,Two Year,No,No,Credit Card,3,No
72.0,98.66,Month-to-Month,Fiber Optic,No,Credit Card,1,No
25.0,18.87,One Year,No,Yes,Bank Transfer,2,No
15.0,63.33,Two Year,No,Yes,Credit Card,2,No
9.0,75.89,Two Year,No,No,Electronic Check,1,No
6.0,42.14,Month-to-Month,No,No,Electronic Check,1,Yes
6.0,15.0,Month-to-Month,DSL,No,Bank Transfer,3,Yes
13.0,67.96,Month-to-Month,No,No,Credit Card,1,No
72.0,41.37,Month-to-Month,DSL,Yes,Bank Transfer,3,No
0.0,41.48,Month-to-Month,DSL,No,Credit Card,1,Yes
5.0,54.36,Month-to-Month,DSL,Yes,Credit Card,1,Yes
5.0,60.99,One Year,DSL,No,Bank Transfer,1,Yes
30.0,64.73,Month-to-Month,Fiber Optic,Yes,Electronic Check,3,Yes
10.0,38.48,One Year,Fiber Optic,No,Electronic Check,2,Yes
15.0,58.39,Month-to-Month,DSL,Yes,Credit Card,3,Yes
4.0,15.0,Two Year,Fiber Optic,No,Electronic Check,2,No
12.0,74.33,Two Year,Fiber Optic,No,Electronic Check,1,No
3.0,15.0,One Year,Fiber Optic,Yes,Credit Card,0,No
18.0,56.32,Two Year,DSL,No,Credit Card,0,Yes
2.0,92.58,Month-to-Month,DSL,No,Electronic Check,2,Yes
38.0,33.22,One Year,DSL,Yes,Credit Card,1,No
20.0,86.49,Month-to-Month,DSL,No,Electronic Check,2,Yes
31.0,99.67,Month-to-Month,Fiber Optic,Yes,Electronic Check,2,Yes
13.0,15.0,Month-to-Month,Fiber Optic,Yes,Bank Transfer,1,Yes
12.0,60.46,One Year,DSL,No,Credit Card,0,Yes
2.0,15.0,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
18.0,61.45,One Year,Fiber Optic,Yes,Electronic Check,3,Yes
17.0,64.78,Month-to-Month,No,Yes,Electronic Check,1,Yes
15.0,15.0,Two Year,DSL,No,Credit Card,1,No
32.0,122.75,One Year,No,No,Bank Transfer,1,Yes
43.0,73.58,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,No
33.0,39.53,Month-to-Month,DSL,No,Electronic Check,0,Yes
4.0,108.96,Two Year,No,Yes,Bank Transfer,1,No
23.0,15.0,Month-to-Month,Fiber Optic,Yes,Bank Transfer,3,Yes
2.0,28.12,Month-to-Month,Fiber Optic,No,Credit Card,1,Yes
28.0,15.0,One Year,Fiber Optic,No,Electronic Check,2,Yes
12.0,119.03,Month-to-Month,Fiber Optic,Yes,Credit Card,2,Yes
3.0,74.97,Month-to-Month,DSL,No,Mailed Check,0,Yes
48.0,84.78,Month-to-Month,DSL,Yes,Electronic Check,3,No
23.0,74.03,Month-to-Month,No,No,Electronic Check,2,Yes
11.0,82.21,Month-to-Month,No,Yes,Mailed Check,0,Yes
1.0,67.34,Month-to-Month,DSL,No,Credit Card,4,Yes
18.0,73.13,Month-to-Month,Fiber Optic,Yes,Bank Transfer,3,Yes
62.0,68.23,Month-to-Month,Fiber Optic,No,Bank Transfer,2,No
22.0,46.74,Two Year,DSL,No,Electronic Check,2,No
72.0,63.6,One Year,Fiber Optic,Yes,Electronic Check,1,No
4.0,73.21,One Year,Fiber Optic,Yes,Mailed Check,0,No
20.0,68.32,Month-to-Month,Fiber Optic,No,Bank Transfer,2,Yes
38.0,20.67,Month-to-Month,No,Yes,Credit Card,2,No
18.0,24.65,Two Year,DSL,No,Electronic Check,0,Yes
2.0,97.49,One Year,Fiber Optic,No,Electronic Check,3,Yes
21.0,55.79,Month-to-Month,Fiber Optic,No,Mailed Check,1,Yes
23.0,82.54,Month-to-Month,Fiber Optic,No,Credit Card,0,Yes
31.0,32.24,Month-to-Month,DSL,No,Mailed Check,3,Yes
34.0,20.81,Two Year,Fiber Optic,No,Electronic Check,1,No
35.0,39.69,Month-to-Month,No,No,Electronic Check,1,No
26.0,58.32,One Year,DSL,No,Electronic Check,3,Yes
6.0,45.05,One Year,Fiber Optic,Yes,Mailed Check,0,Yes
12.0,103.82,Two Year,No,No,Credit Card,1,Yes
36.0,70.39,Two Year,DSL,No,Credit Card,1,No
72.0,120.47,Month-to-Month,No,Yes,Mailed Check,3,Yes
2.0,77.13,One Year,DSL,Yes,Electronic Check,1,Yes
18.0,15.0,One Year,DSL,No,Bank Transfer,1,Yes
9.0,96.68,One Year,DSL,No,Credit Card,2,Yes
6.0,19.71,Two Year,DSL,Yes,Electronic Check,2,No
17.0,71.92,Two Year,DSL,No,Credit Card,0,Yes
22.0,41.76,Month-to-Month,Fiber Optic,Yes,Credit Card,1,Yes
0.0,129.28,Month-to-Month,DSL,Yes,Mailed Check,6,Yes
36.0,108.19,One Year,No,No,Bank Transfer,0,No
41.0,42.75,Month-to-Month,Fiber Optic,No,Bank Transfer,4,Yes
72.0,61.18,Month-to-Month,Fiber Optic,No,Bank Transfer,2,Yes
5.0,72.34,Month-to-Month,Fiber Optic,No,Electronic Check,0,Yes
22.0,90.9,Two Year,Fiber Optic,No,Electronic Check,2,No
13.0,65.87,Month-to-Month,Fiber Optic,Yes,Electronic Check,3,Yes
10.0,34.25,One Year,DSL,No,Credit Card,0,Yes
20.0,43.47,Month-to-Month,No,Yes,Mailed Check,0,No
37.0,64.87,Month-to-Month,Fiber Optic,Yes,Mailed Check,2,Yes
1.0,102.03,Month-to-Month,DSL,No,Credit Card,0,Yes
72.0,77.84,Month-to-Month,Fiber Optic,Yes,Electronic Check,2,Yes
40.0,41.8,Two Year,Fiber Optic,No,Bank Transfer,4,No
33.0,84.45,Two Year,DSL,Yes,Mailed Check,1,No
34.0,53.39,One Year,No,Yes,Mailed Check,2,No
12.0,91.71,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,Yes
33.0,140.81,Month-to-Month,Fiber Optic,No,Credit Card,0,Yes
12.0,54.24,Month-to-Month,Fiber Optic,Yes,Credit Card,3,Yes
55.0,89.05,Month-to-Month,No,No,Electronic Check,0,Yes
5.0,42.64,Month-to-Month,DSL,No,Credit Card,0,Yes
8.0,61.63,One Year,Fiber Optic,Yes,Credit Card,3,Yes
19.0,65.89,Month-to-Month,DSL,No,Electronic Check,2,Yes
9.0,59.19,Month-to-Month,Fiber Optic,No,Electronic Check,2,No
13.0,138.89,Two Year,DSL,No,Electronic Check,1,No
16.0,55.8,Month-to-Month,DSL,Yes,Bank Transfer,2,Yes
47.0,82.61,Two Year,No,Yes,Bank Transfer,0,No
18.0,15.0,Two Year,Fiber Optic,Yes,Electronic Check,1,No
11.0,77.96,Month-to-Month,DSL,No,Mailed Check,0,Yes
7.0,99.26,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
13.0,49.17,One Year,Fiber Optic,No,Electronic Check,1,Yes
17.0,15.0,Month-to-Month,DSL,No,Mailed Check,2,Yes
33.0,63.84,Month-to-Month,DSL,Yes,Electronic Check,0,Yes
3.0,65.52,One Year,No,No,Mailed Check,2,No
6.0,86.72,Month-to-Month,Fiber Optic,No,Credit Card,2,Yes
11.0,125.33,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
11.0,53.6,One Year,No,Yes,Electronic Check,2,No
12.0,39.31,One Year,Fiber Optic,No,Electronic Check,2,No
38.0,29.99,Month-to-Month,DSL,No,Mailed Check,0,Yes
9.0,70.94,Month-to-Month,DSL,Yes,Bank Transfer,2,Yes
17.0,79.38,Month-to-Month,Fiber Optic,No,Bank Transfer,3,Yes
23.0,48.63,Month-to-Month,No,No,Mailed Check,2,No
6.0,88.36,One Year,DSL,No,Mailed Check,2,Yes
30.0,78.96,One Year,DSL,Yes,Electronic Check,0,No
19.0,66.3,One Year,No,Yes,Mailed Check,0,No
14.0,37.93,Month-to-Month,DSL,Yes,Bank Transfer,0,Yes
40.0,50.54,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
7.0,15.0,Month-to-Month,DSL,No,Credit Card,2,No
52.0,72.07,Month-to-Month,Fiber Optic,No,Bank Transfer,4,Yes
20.0,65.79,Month-to-Month,Fiber Optic,No,Electronic Check,3,Yes
23.0,70.65,Month-to-Month,DSL,Yes,Mailed Check,0,Yes
50.0,80.13,Month-to-Month,Fiber Optic,No,Credit Card,2,Yes
41.0,76.57,One Year,Fiber Optic,Yes,Electronic Check,1,No
22.0,61.69,One Year,Fiber Optic,No,Electronic Check,1,No
34.0,66.46,One Year,Fiber Optic,No,Mailed Check,0,No
14.0,22.87,Month-to-Month,Fiber Optic,No,Bank Transfer,5,Yes
19.0,47.49,Two Year,Fiber Optic,No,Electronic Check,0,No
2.0,66.51,Two Year,Fiber Optic,Yes,Credit Card,0,Yes
2.0,42.92,Month-to-Month,Fiber Optic,No,Bank Transfer,1,Yes
42.0,90.8,One Year,Fiber Optic,No,Credit Card,3,Yes
1.0,45.24,Two Year,Fiber Optic,No,Electronic Check,0,Yes
4.0,71.49,Month-to-Month,DSL,No,Credit Card,2,Yes
38.0,68.5,Month-to-Month,DSL,Yes,Mailed Check,3,Yes
0.0,87.39,Month-to-Month,DSL,Yes,Electronic Check,1,Yes
8.0,92.02,Month-to-Month,No,Yes,Credit Card,5,Yes
21.0,85.82,Month-to-Month,Fiber Optic,Yes,Electronic Check,3,Yes
22.0,15.0,Two Year,Fiber Optic,No,Credit Card,1,No
36.0,100.82,One Year,DSL,Yes,Mailed Check,3,No
17.0,110.82,Month-to-Month,DSL,No,Credit Card,5,Yes
17.0,50.54,One Year,No,Yes,Mailed Check,1,No
31.0,72.1,One Year,No,No,Credit Card,0,No
17.0,38.28,Month-to-Month,DSL,No,Electronic Check,0,Yes
23.0,15.0,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,No
55.0,42.84,Two Year,Fiber Optic,No,Bank Transfer,0,No
12.0,48.8,One Year,DSL,No,Credit Card,1,Yes
12.0,54.35,Month-to-Month,Fiber Optic,Yes,Electronic Check,2,Yes
0.0,36.23,Month-to-Month,Fiber Optic,No,Mailed Check,0,Yes
23.0,43.0,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,No
1.0,64.67,Month-to-Month,DSL,Yes,Electronic Check,2,Yes
17.0,41.89,Month-to-Month,DSL,No,Mailed Check,2,Yes
39.0,81.31,One Year,DSL,Yes,Credit Card,0,No
19.0,85.45,Month-to-Month,DSL,No,Electronic Check,1,Yes
8.0,136.41,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,Yes
37.0,98.77,Month-to-Month,DSL,Yes,Credit Card,2,Yes
8.0,72.29,Month-to-Month,Fiber Optic,No,Electronic Check,0,Yes
32.0,46.39,Two Year,Fiber Optic,No,Bank Transfer,0,Yes
23.0,73.81,Month-to-Month,Fiber Optic,No,Bank Transfer,1,Yes
4.0,74.8,One Year,Fiber Optic,Yes,Credit Card,2,Yes
57.0,49.6,Month-to-Month,Fiber Optic,No,Bank Transfer,1,No
5.0,88.51,Month-to-Month,DSL,No,Bank Transfer,1,Yes
72.0,23.06,One Year,DSL,No,Electronic Check,1,No
0.0,57.67,Month-to-Month,DSL,No,Mailed Check,2,Yes
7.0,81.68,One Year,DSL,No,Credit Card,1,Yes
5.0,56.37,Month-to-Month,DSL,Yes,Electronic Check,3,Yes
0.0,58.8,One Year,DSL,Yes,Electronic Check,2,No
32.0,60.87,One Year,Fiber Optic,Yes,Credit Card,2,Yes
28.0,39.93,One Year,No,No,Bank Transfer,1,No
38.0,100.22,One Year,DSL,Yes,Mailed Check,2,No
7.0,34.46,One Year,No,No,Credit Card,2,No
14.0,74.54,Two Year,DSL,Yes,Credit Card,0,No
26.0,77.41,Month-to-Month,Fiber Optic,No,Credit Card,2,Yes
14.0,36.54,One Year,Fiber Optic,Yes,Credit Card,2,No
29.0,67.19,Month-to-Month,No,No,Mailed Check,3,No
24.0,37.71,Month-to-Month,DSL,Yes,Credit Card,3,No
3.0,106.73,Month-to-Month,DSL,No,Bank Transfer,1,Yes
36.0,30.84,Two Year,DSL,No,Credit Card,1,No
31.0,45.38,Month-to-Month,Fiber Optic,No,Credit Card,0,Yes
26.0,28.27,One Year,No,Yes,Electronic Check,1,No
4.0,24.27,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,Yes
7.0,112.74,Month-to-Month,Fiber Optic,No,Electronic Check,0,Yes
12.0,81.28,Two Year,Fiber Optic,Yes,Credit Card,1,No
8.0,69.21,Month-to-Month,No,Yes,Credit Card,2,Yes
6.0,45.3,Month-to-Month,Fiber Optic,No,Mailed Check,1,Yes
39.0,92.23,Month-to-Month,DSL,Yes,Bank Transfer,0,No
24.0,40.27,One Year,No,Yes,Credit Card,0,No
20.0,88.81,Month-to-Month,DSL,No,Electronic Check,1,Yes
6.0,38.82,Month-to-Month,DSL,Yes,Electronic Check,1,No
60.0,45.66,One Year,DSL,Yes,Mailed Check,1,No
5.0,87.75,Month-to-Month,Fiber Optic,No,Credit Card,2,Yes
38.0,90.91,One Year,Fiber Optic,Yes,Credit Card,3,Yes
72.0,82.92,Month-to-Month,DSL,No,Mailed Check,2,Yes
31.0,33.51,Month-to-Month,Fiber Optic,Yes,Electronic Check,3,No
72.0,51.6,One Year,Fiber Optic,No,Bank Transfer,1,Yes
25.0,69.71,Two Year,No,No,Credit Card,2,No
6.0,39.52,One Year,Fiber Optic,No,Bank Transfer,1,Yes
5.0,106.13,One Year,Fiber Optic,Yes,Mailed Check,1,Yes
9.0,15.0,Month-to-Month,Fiber Optic,Yes,Electronic Check,2,Yes
0.0,41.64,Month-to-Month,DSL,No,Credit Card,2,Yes
27.0,49.71,Month-to-Month,DSL,Yes,Electronic Check,2,Yes
8.0,15.0,Two Year,Fiber Optic,No,Electronic Check,0,No
41.0,23.11,Two Year,DSL,No,Credit Card,1,No
11.0,83.76,Two Year,DSL,No,Credit Card,0,No
16.0,65.91,Month-to-Month,Fiber Optic,Yes,Bank Transfer,0,Yes
72.0,112.19,Month-to-Month,DSL,Yes,Bank Transfer,2,No
7.0,111.36,One Year,DSL,No,Electronic Check,5,Yes
31.0,77.99,One Year,Fiber Optic,No,Electronic Check,0,No
34.0,74.4,One Year,Fiber Optic,No,Electronic Check,3,Yes
6.0,66.98,One Year,No,No,Bank Transfer,2,Yes
17.0,15.0,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
10.0,23.16,Month-to-Month,Fiber Optic,No,Credit Card,3,Yes
35.0,68.02,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,Yes
23.0,83.48,Month-to-Month,DSL,No,Mailed Check,0,Yes
16.0,73.69,Month-to-Month,DSL,No,Mailed Check,1,Yes
36.0,38.23,Month-to-Month,Fiber Optic,Yes,Bank Transfer,1,Yes
6.0,93.12,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
34.0,109.47,One Year,Fiber Optic,Yes,Credit Card,0,No
48.0,93.14,Two Year,Fiber Optic,No,Mailed Check,1,No
51.0,94.69,Two Year,DSL,Yes,Bank Transfer,0,Yes
37.0,48.22,Month-to-Month,Fiber Optic,Yes,Bank Transfer,0,Yes
13.0,97.28,Month-to-Month,Fiber Optic,No,Electronic Check,3,Yes
72.0,69.37,Month-to-Month,Fiber Optic,No,Bank Transfer,2,No
11.0,80.35,Two Year,Fiber Optic,No,Bank Transfer,1,Yes
24.0,75.96,Month-to-Month,No,Yes,Credit Card,1,Yes
4.0,61.36,Month-to-Month,No,No,Credit Card,3,Yes
72.0,39.2,Two Year,No,Yes,Electronic Check,2,No
29.0,62.54,Month-to-Month,DSL,Yes,Electronic Check,1,Yes
34.0,94.6,Two Year,DSL,Yes,Electronic Check,2,No
2.0,51.76,Month-to-Month,DSL,Yes,Credit Card,1,Yes
35.0,91.8,Month-to-Month,DSL,No,Electronic Check,3,Yes
36.0,87.11,Month-to-Month,Fiber Optic,No,Bank Transfer,3,Yes
27.0,56.03,Two Year,Fiber Optic,Yes,Bank Transfer,1,No
8.0,106.66,Two Year,Fiber Optic,No,Bank Transfer,1,Yes
16.0,54.33,One Year,No,Yes,Electronic Check,1,No
3.0,110.29,Month-to-Month,No,No,Electronic Check,2,Yes
15.0,78.02,Month-to-Month,DSL,No,Mailed Check,3,Yes
7.0,64.52,Two Year,No,Yes,Electronic Check,0,No
10.0,38.37,One Year,Fiber Optic,No,Electronic Check,0,No
4.0,62.35,One Year,Fiber Optic,Yes,Electronic Check,1,Yes
6.0,58.89,Month-to-Month,Fiber Optic,No,Bank Transfer,0,Yes
2.0,27.25,Month-to-Month,DSL,Yes,Mailed Check,3,Yes
61.0,58.47,Month-to-Month,No,No,Electronic Check,0,No
18.0,40.89,One Year,Fiber Optic,No,Electronic Check,5,Yes
12.0,82.58,Two Year,No,Yes,Electronic Check,1,No
18.0,104.19,Month-to-Month,No,Yes,Mailed Check,1,Yes
24.0,28.19,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
61.0,116.37,Month-to-Month,DSL,Yes,Bank Transfer,1,Yes
5.0,61.14,Month-to-Month,DSL,Yes,Electronic Check,2,Yes
8.0,35.75,Two Year,DSL,No,Credit Card,1,No
72.0,87.73,Month-to-Month,DSL,No,Electronic Check,5,Yes
11.0,51.61,Two Year,No,Yes,Credit Card,1,Yes
1.0,62.55,One Year,DSL,Yes,Credit Card,2,Yes
4.0,52.87,One Year,No,No,Bank Transfer,0,Yes
1.0,40.5,Two Year,Fiber Optic,Yes,Credit Card,1,No
72.0,86.72,One Year,DSL,No,Electronic Check,3,No
8.0,56.41,Two Year,Fiber Optic,No,Electronic Check,1,Yes
62.0,21.9,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
72.0,81.53,One Year,Fiber Optic,Yes,Electronic Check,0,No
22.0,28.83,One Year,Fiber Optic,Yes,Electronic Check,0,No
1.0,30.4,Month-to-Month,DSL,Yes,Bank Transfer,0,No
2.0,100.78,One Year,Fiber Optic,No,Electronic Check,3,Yes
16.0,29.11,One Year,Fiber Optic,No,Mailed Check,1,No
13.0,15.0,Two Year,Fiber Optic,Yes,Electronic Check,0,No
22.0,83.69,Month-to-Month,No,No,Bank Transfer,1,Yes
14.0,55.88,One Year,DSL,No,Credit Card,1,Yes
65.0,58.47,Month-to-Month,DSL,Yes,Mailed Check,3,No
18.0,55.56,One Year,Fiber Optic,Yes,Mailed Check,1,No
28.0,71.95,Month-to-Month,No,Yes,Mailed Check,0,No
54.0,42.42,One Year,Fiber Optic,No,Credit Card,1,Yes
4.0,109.28,Month-to-Month,DSL,No,Electronic Check,2,Yes
6.0,20.71,Month-to-Month,DSL,No,Credit Card,2,Yes
3.0,78.35,Month-to-Month,DSL,Yes,Mailed Check,2,Yes
4.0,84.26,Month-to-Month,DSL,Yes,Electronic Check,1,Yes
17.0,42.21,One Year,Fiber Optic,No,Credit Card,1,Yes
9.0,34.29,Two Year,Fiber Optic,No,Credit Card,1,Yes
13.0,95.52,Month-to-Month,DSL,No,Bank Transfer,1,Yes
